,0
2134,53617900
2135,203420000
2136,678568000
2137,55423600
2138,10883300
2139,168879008
2140,25329100
2141,702540992
2142,115143000
2143,98259296
2144,21230600
2145,72049504
2146,16671700
2147,220282000
2148,52357700
2149,21014300
2150,33620700
2151,43885000
2152,14959300
2153,3642430
2154,29187300
2155,24670400
2156,1687110016
2157,41027400
2158,9616720
2159,21299500
2160,49557400
2161,27825000
2162,32025500
2163,50053400
2164,11587000
2165,49020300
2166,132213000
2167,394720000
2168,245338000
2169,339235008
2170,468617984
2171,28903400
2172,50590200
2173,116430000
2174,121000000
2175,42829500
2176,72596400
2177,403744000
2178,132434000
2179,21523900
2180,110788000
2181,54242600
2182,12544200
2183,33304200
2184,147399008
2185,25775200
2186,38807400
2187,31468000
2188,66824000
2189,161650000
2190,35049900
2191,162259008
2192,115539000
2193,7695440
2194,29860500
2195,16149700
2196,259276992
2197,62129300
2198,11043200
2199,132548000
2200,124670000
2201,57876800
2202,188448000
2203,37164600
2204,67677600
2205,190288992
2206,75706096
2207,100851000
2208,17252000
2209,61908700
2210,36432800
2211,885862016
2212,51375600
2213,90172000
2214,41873100
2215,31131800
2216,172452000
2217,298932000
2218,13668400
2219,65622700
2220,315435008
2221,69086704
2222,43355700
2223,9817580
2224,33696900
2225,93106896
2226,47400600
2227,8372340
2228,62163100
2229,44325800
2230,29583400
2231,20557200
2232,38583900
2233,11545400
2234,6023010
2235,127672000
2236,128736000
2237,1213200000
2238,53423900
2239,128818000
2240,26898400
2241,68785904
2242,2837179904
2243,52846900
2244,25644300
2245,55547300
2246,86658800
2247,172403008
2248,559364992
2249,178724000
2250,82317104
2251,259255008
2252,7932310
2253,67224000
2254,110555000
2255,50633000
2256,77213504
2257,32756100
2258,42046700
2259,16447300
2260,57569400
2261,141668992
2262,19786000
2263,88725600
2264,27597800
2265,87991800
2266,410904992
2267,34541500
2268,62364700
2269,46316100
2270,81187800
2271,746206016
2272,85134800
2273,107868000
2274,32042100
2275,28365200
2276,102102000
2277,150699008
2278,32297800
2279,37570100
2280,16142300
2281,113406000
2282,248836992
2283,53523100
2284,57004800
2285,138104000
2286,212831008
2287,179916000
2288,14309700
2289,71880896
2290,86894304
2291,117459000
2292,39728400
2293,13025300
2294,376100992
2295,144308992
2296,206682000
2297,53091600
2298,114226000
2299,10995700
2300,59476200
2301,163862000
2302,955766016
2303,474940992
2304,25410100
2305,93700000
2306,23580300
2307,107184000
