,0
531,397003008
532,16435800
533,58051200
534,149364992
535,233704992
536,103412000
537,16884500
538,14512100
539,99629600
540,57978500
541,7789230
542,72490400
543,108160000
544,43606300
545,49484800
546,6614110
547,36438500
548,32846000
549,68268304
550,47805000
551,29410100
552,58628100
553,18104700
554,37740400
555,4240880128
556,124132000
557,36726400
558,33075000
559,35247700
560,54912900
561,114228000
562,60717400
563,34401100
564,17203500
565,18307800
566,17873300
567,15125900
568,765465984
569,104050000
570,50266100
571,17819900
572,154898000
573,45922600
574,4710840
575,18254900
576,95468800
577,11650100
578,32354100
579,541054976
580,48742000
581,749283008
582,123451000
583,194043008
584,31470000
585,27674200
586,12274400
587,131599000
588,135880992
589,9141190
590,12475400
591,111854000
592,31975700
593,17600000
594,100531000
595,132024000
596,46601000
597,9762680
598,64063000
599,1307090048
600,15497600
601,42521700
602,79329800
603,37539800
604,219500000
605,47319900
606,48714000
607,196702000
608,114413000
609,119629000
610,27754900
611,119665000
612,13763000
613,683987008
614,839251008
615,45075700
616,637825984
617,144482000
618,161858000
619,77642200
620,277096000
621,126771000
622,11648700
623,33875400
624,55859300
625,314808000
626,75116704
627,27987600
628,175375008
629,253250000
630,33733400
631,306300992
632,251515008
633,23277000
634,28890100
635,133732000
636,237894000
637,363537984
638,53097000
639,16418400
640,1806269952
641,160020000
642,340161984
643,284616000
644,1380750
645,65004200
646,6890120
647,64434400
648,268211008
649,29359900
650,237231008
651,42188300
652,12642300
653,82111400
654,105605000
655,110353000
656,202556992
657,181456000
658,25544800
659,24447000
660,32443300
661,143947008
662,740731008
663,134580000
664,39117900
665,199819008
666,129823000
667,73842800
668,35060700
669,67070500
670,64589100
671,23201600
672,40332200
673,280801984
674,192612000
675,51414900
676,121800000
677,253720992
678,92344896
679,31601900
680,289673984
681,267179008
682,36906400
683,63047900
684,700852992
685,26061100
686,52427800
687,52402400
688,11825300
689,26614700
690,289166016
691,28258200
692,29959600
693,31097900
694,333976000
695,54982600
696,40787600
697,52199400
698,43839900
699,121385000
700,32197300
701,13679400
702,99400000
703,25527700
704,38528800
705,30373600
706,138860992
707,24570400
708,363560992
709,224763008
710,397976000
711,49958100
712,40125500
713,182147008
714,42989800
715,94108000
716,54846300
717,6230730
718,135894000
719,597475008
720,229704992
721,125212000
722,69432800
723,42308900
724,53665700
725,19924400
726,134607008
727,53195800
728,30039200
729,47557600
730,582054976
731,33728000
732,55594600
733,44007600
734,54303400
735,33101200
736,77571904
737,91949800
738,101061000
739,15199000
740,85927000
741,372104000
742,255454000
743,21525400
744,77811200
745,46189100
746,55546400
747,116469000
748,336292000
749,14096900
750,18620900
751,248752992
752,98601600
753,27617400
754,7669440
755,174446000
756,65412000
757,11105900
758,81720600
759,22317400
760,25929400
761,130574000
762,230134000
763,118591000
764,114257000
765,34343000
766,59815200
767,16500700
768,85474896
769,32333000
770,41356100
771,40535600
772,226740000
773,84457800
774,71865296
775,206555008
776,141435008
777,973929984
778,306659008
779,34316100
780,166192992
781,66652900
782,51538900
783,64456400
784,129039000
785,33165000
786,118018000
787,81205400
788,52651200
789,111421000
790,157816000
791,17231500
792,17719300
793,572819008
794,75937400
795,2404549888
796,137947008
797,8587450
798,32074700
799,43201100
800,21399900
801,29040800
802,13869700
803,3377880
804,17691200
805,11662000
806,10201300
807,98015400
808,37098300
809,9163220
810,70323800
811,1451960064
812,37285700
813,47719900
814,37871700
815,541753984
816,46164200
817,111445000
818,222844000
819,43743200
820,97968896
821,24655300
822,28213600
823,142222000
824,60896500
825,10184400
826,44615500
827,89068800
828,130351000
829,100938000
830,311863008
831,225710000
832,43161800
833,617737024
834,676336000
835,237407008
836,711305984
837,55734300
838,61990800
839,36471000
840,45213100
841,46616500
842,104191000
843,70706096
844,23806900
845,130842000
846,46530500
847,211563008
848,42639500
849,140174000
850,83770704
851,35754000
852,38562500
853,8000660
854,11129400
855,16702500
856,114213000
857,28317000
858,36722000
859,322673984
860,102312000
861,272014016
862,34953400
863,10920800
864,10433000
865,47421300
866,82241504
867,257532000
868,48036400
869,76158200
870,18757800
871,262024000
872,344808992
873,38602800
874,31769800
875,36673300
876,127208000
877,4338000
878,20265600
879,171288000
880,25969400
881,53754100
882,9766910
883,40266200
884,75633000
885,65112800
886,14859700
887,4332200
888,49256900
889,105884000
890,107269000
891,60242600
892,10706400
893,85381104
894,58951800
895,161212000
896,107576000
897,336856000
898,51411100
899,23363200
900,163840992
901,25834400
902,203371008
903,27974700
904,190200992
905,34900000
906,8671070
907,10185500
908,60940300
909,32667700
910,37803800
911,8513410
912,132058000
913,14700200
914,72901400
915,
916,165068000
917,28050700
918,52905000
919,12534000
920,8747089920
921,26260900
922,108164000
923,12277300
924,13661500
925,200362000
926,65639100
927,47431100
928,30625800
929,166598000
930,94543400
931,4273800
932,18771800
933,9891050
934,48009300
935,1254370048
936,606139008
937,44179600
938,107397000
939,101320000
940,99300000
941,80547800
942,215118000
943,30886500
944,44311700
945,150032000
946,760947968
947,43583000
948,1431079936
949,42320700
950,84609000
951,61889700
952,62681500
953,246798000
954,11169700
955,505126016
956,90006600
957,83504096
958,74277200
959,33934900
960,336161984
961,300049984
962,70026000
963,66347900
964,144260000
965,18108900
966,55136900
967,299009984
968,35494100
969,128638000
970,372639008
971,17080700
972,66172000
973,26091500
974,5128410
975,567889984
976,37076400
977,91916600
978,343887008
979,14083800
980,16071600
981,232998000
982,290721984
983,37737300
984,35955700
985,24110200
986,57570200
987,53592800
988,46741300
989,55013900
990,82885696
991,22537400
992,53673100
993,35570100
994,50298000
995,104385000
996,877278016
997,138068992
998,137007008
999,69549000
1000,12556900
1001,1014220032
1002,9551620
1003,9067920
1004,348035008
1005,18715700
1006,43763600
1007,27457300
1008,337619008
1009,38094500
1010,51167700
1011,23257900
1012,7906640
1013,74416000
1014,1090829952
1015,161986000
1016,35920100
1017,40288500
1018,35888500
1019,84987200
1020,55063300
1021,74718704
1022,2135750
1023,358075008
1024,40723900
1025,103886000
1026,523247008
1027,137676000
1028,46300700
1029,32081400
1030,96579504
1031,29834700
1032,125406000
1033,41238300
1034,23395000
1035,88410896
1036,20184400
1037,42647400
1038,11838400
1039,153135008
1040,258206000
1041,165148000
1042,64106100
1043,58418000
1044,107418000
1045,1288339968
1046,153296000
1047,1429760000
1048,213670000
1049,71051000
1050,134919008
1051,192475008
1052,66555500
1053,29111200
1054,537776000
1055,28212100
1056,78779904
1057,142756000
1058,19274900
1059,31997500
1060,147396000
1061,17543500
1062,59568200
1063,81345000
1064,36807200
1065,54201100
1066,33544300
1067,43627100
1068,39279600
1069,132206000
1070,220534000
1071,6803160
1072,22849000
1073,86275000
1074,12920300
1075,21475000
1076,133513000
1077,76751200
1078,887891968
1079,63868600
1080,29662300
1081,43041800
1082,547222016
1083,18827300
1084,22808500
1085,32733400
1086,20809800
1087,50453900
1088,84933000
1089,21073700
1090,75391904
1091,106802000
1092,24128100
1093,204435008
1094,14552600
1095,8781000
1096,17035700
1097,91059600
1098,147000000
1099,65185700
1100,58786800
1101,174406000
1102,29113300
1103,230900000
1104,38034400
1105,9801820
1106,217372992
1107,32960000
1108,183198000
1109,398916000
1110,22047600
1111,105174000
1112,76111600
1113,96180000
1114,26676700
1115,28843800
1116,4233999872
1117,260488992
1118,101320000
1119,543766976
1120,52369700
1121,139320992
1122,24560800
1123,30962100
1124,393040992
1125,31531400
1126,389614016
1127,53027600
1128,47589700
1129,129644000
1130,190964000
1131,27884300
1132,132228000
1133,287143008
1134,91303600
1135,27039800
1136,159379008
1137,250200992
1138,10940000
1139,66200800
1140,1891180
1141,40204100
1142,317518016
1143,34419500
1144,164966000
1145,458896000
1146,130103000
1147,14959200
1148,133600000
1149,105461000
1150,150716992
1151,275601984
1152,8939390
1153,23271900
1154,743862016
1155,320982016
1156,268830016
1157,100475000
1158,184914000
1159,44288100
1160,18887900
1161,76719600
1162,51630600
1163,34053100
1164,2636349952
1165,331352000
1166,8871010
1167,30520400
1168,48424600
1169,156346000
1170,13882900
1171,342670016
1172,11469500
1173,55715900
1174,15789600
1175,17845600
1176,27832300
1177,129168000
1178,36608200
1179,142296992
1180,159831008
1181,1407079936
1182,24987300
1183,59997000
1184,975406016
1185,187395008
1186,22733800
1187,55044500
1188,1221830016
1189,17818400
1190,432510016
1191,39289600
1192,155048992
1193,25287200
1194,340547008
1195,2261489920
1196,66828900
1197,82914000
1198,162575008
1199,91524896
1200,50652600
1201,22285100
1202,22254600
1203,169823008
1204,4294889984
1205,44452700
1206,20958800
1207,405191008
1208,73121904
1209,788000000
1210,31854500
1211,115073000
